Course ID,Course Name,Course Description,Term(s) Offered,Staff,Equivalent Courses,Prerequisites
ECON 13000,  Introduction to Money and Banking,"
The course focuses on monetary policy and central bank's attempts to stabilize prices and promote maximum sustainable economic growth. Topics include the structure of the Federal Reserve, the conduct of monetary policy, the term structure of interest rates, risk valuation, management of banking, and financial crises.",NaN,K. Kuevibulvanich,NaN,Econ 10200/19900/20200/20210
ECON 13110,  Household Finance: Theory and Applications,"
This course will examine the choices households make about important financial decisions and how these individual choices can impact the aggregate economy. Each week, basic predictions from economic theory will be discussed and compared with empirical findings. Topics will include: asset market participation and household portfolio choice; human capital and student loans; housing and mortgages; retirement planning; credit card debt; payday loans; and the gig/sharing economy. Focus will also be placed on government policies affecting these topics, including so-called household financial engineering, the creation of Government Sponsored Enterprises (GSEs) like ""Fannie"" and ""Freddie,"" and regulatory agencies like the Consumer Financial Protection Bureau (CFPB). The course will provide an introduction to structural modeling for conducting policy counterfactuals. Assessment will be based on problem sets, a midterm and a final. These problem sets will require students to work in R, Stata or other statistical package of the student's choice (with permission of instructor).",Spring,D. Koustas,PBPL 28528,Prerequisite(s): PBPL 20000 (PBPL 22200 preferred) or ECON 20000 and one undergraduate course in quantitative research methods (Statistics or Econometrics) or the equivalent or consent of the instructor.
ECON 13200,  Introduction to Macroeconomic Crises,"
This course studies macroeconomic crises within the standard macroeconomic framework. The course introduces students to long run growth and business cycle fluctuations and analyzes recent events such as the 2008 financial crisis, Euro-currency crisis and the 2020 pandemic as distinct macroeconomic phenomena. In particular, we will cover areas including systemic risk in the banking sector, monetary and fiscal policy, sovereign default, labor market consequences and theories of labor determination and models of infection risk. We will also study methodological innovation in macroeconomics, i.e., how macroeconomists have adapted their theory and models to explain these particular episodes.",Winter,NaN,NaN,ECON 10200/20200/20210
ECON 13300,  Introduction to the Macroeconomics of Monetary and Fiscal Policy,"
This course examines monetary and fiscal issues in the macroeconomy. The first part of the course will focus on long-run topics in monetary economics, such as the nature of a monetary economy, inflation, the quantity theory of money, and the welfare cost of inflation. The second part of the course will focus on the macroeconomic implications of government expenditure, supply side economics, the Laffer curve, and the Ricardian equivalence theorem. An effort will be made to tackle these issues within unified and simple dynamic frameworks.",NaN,S. Salas,NaN,ECON 10000/20000/20010 and Econ 10200/20200/20210
ECON 13310,  Introduction to Macroeconomic Analysis: A Data Driven Approach,"
This course offers a comprehensive exploration of neoclassical macroeconomic models, designed for students who have previously studied the principles of macroeconomics. The course is divided into five key modules: (i) economic growth and production, (ii) consumption and savings, (iii) government finances, (iv) money and the price level, and (v) unemployment. Throughout each module, we extensively utilize relevant data to enhance the understanding of theoretical concepts. By the end of the course, students will not only possess the ability to interpret macroeconomic news and articles but also analyze policies through a model-based framework.",NaN,O. Galvez-Soriano,NaN,Econ 10200/20200/20210 and STAT 22000/STAT 23400/STAT 24400/ECON 11010
ECON 14000,  Introduction to Labor Economics,"
This course is an introduction to labor economics with an emphasis on applied microeconomic theory and empirical analysis. Topics to be covered include: labor supply and demand, taxes and transfers, minimum wages, immigration, human capital, creativity over the lifecycle and unemployment. For each topic we will describe the basic economic framework used in the analysis, analyze associated cases of study and drawn conclusions about what we have learned. Most of the examples will be taken from U.S. labor data and special attention will be given to randomized trials and experimental methods to infer causality.",Winter,NaN,NaN,ECON 10000/20000/20010
ECON 14020,  Labor Markets: A Global Perspective,"
In this course we will explore standard models that form the core of labor economics including labor supply, labor demand, job search models, wage setting, discrimination, and migration. For each topic we will then examine empirical applications of these models with a focus on middle and low-income countries. We will discuss how these traditional models are useful, or not, in understanding labor market outcomes in these settings and how they can be expanded to better capture relevant features of labor markets outside high-income countries.",Winter,"Lane, Gregory",PBPL 25640,NaN
ECON 14520,  Economics of Gender in International Contexts,"
In this class, students will engage basic issues, conflicts, and innovative field research in economics of gender in international contexts. In particular, we will review theoretical foundations, data and methods of research, and a review of recent work in international research related to economics of gender. At the end of the course, you will have a suite of research approaches, topics, and methods, to investigate gender differences in a variety of economic outcomes and contexts.",Winter,A. Gonzalez,GNSE 22520,ECON 10000 or ECON 20000 or ECON 20010 or PBPL 22200. STAT 22000 also recommended.
ECON 14810,  Evolution and Economics of Human Behavior,"
This course explores how evolutionary biology and behavioral economics explain many different aspects of human behavior. Specific topics include evolutionary theory, natural and sexual selection, game theory, cost-benefit analyses of behavior from an evolutionary and a behavioral economics perspective, aggression, power and dominance, cooperation and competition, biological markets, parental investment, life history and risk-taking, love and mating, physical attractiveness and the market, emotion and motivation, sex and consumer behavior, cognitive biases in decision-making, and personality and psychopathology.",Autumn,D. Maestripieri,"PSYC 37950, PSYC 27950, CHDV 27950, CHDV 37950",NaN
ECON 15010,  Investments: From Economics to Finance,"
This course studies finance and investments through the lens of economic equilibrium methods. We look at how the general equilibrium framework in economics gives rise to the factor pricing models in finance, the no-arbitrage framework in economics gives rise to the option pricing models in finance, and the Nash equilibrium framework in economics gives rise to the microstructure trading models in finance. Trillions of dollar worth of financial products ride on these financial models, and we trace the path from the basic models of equilibrium in economic theory to these applied models in finance that have found immense use in practice. The course combines a theoretical framework with applied analysis. Topics covered include: basics of general equilibrium with uncertainty, mean-variance utility, portfolio optimization, capital asset pricing model, no-arbitrage equilibrium, fundamental theorem of asset pricing, binomial option pricing, Black-Scholes-Merton options theory, Bayes Nash equilibrium, Kyle and Glosten-Milgrom models of trading.",NaN,NaN,NaN,ECON 10000/20000/20010 and STAT 22000/STAT 23400/ECON 11010.
ECON 15020,  Trading: From Game Theory to Finance,"
This course studies trading in financial markets through the lens of game theory and asymmetric information. Trading models are at the heart of financial markets, and we trace the path from basic models in game theory and equilibrium economics to applied trading models in finance that have found immense use in practice. We look at how the asymmetric information framework gives rise to market microstructure trading, equilibrium tatonnement process gives rise to arbitrage trading, general equilibrium framework gives rise to beta-based trading, model uncertainty gives rise to alpha-based trading, and event uncertainty gives rise to option trading. The course combines a theoretical framework with applied analysis. Topics covered include: information structures, Bayesian probability, Blackwell's theorem, basics of rational expectations equilibrium, Bayes Nash equilibrium, limit order books, bid-ask spread formation, asymmetric information models of microstructure trading, PIN model, capital asset pricing model, beta and index fund trading, alpha and hedge fund trading, speculative trading with options, high-frequency trading, arbitrage and behavioral trading models.",Winter,A. Bhattacharya,NaN,Econ 10000/20000/20010 and STAT 22000/STAT 23400/STAT 24400/ECON 11010
ECON 15500,  Introduction to Development Economics,"
Global poverty is one of the fundamental problems facing humanity. In this course we will try to understand the economic lives of the global poor, why they are stuck in poverty, and what evidence exists on what works and what doesn't in the fight against poverty. We will take a primarily micro-economic perspective on poverty which focuses on individuals, households, markets, and governments. We will structure our investigation using economic models and statistical methods, and consider questions related to consumption, health, education, risk, credit, and savings. We will also study the role of government provision of services and politics in developing countries. We will end with taking a historical and big-picture perspective of development.",NaN,S. Vasudevan,NaN,ECON 10000/20000/20010 and ECON 11020/21020/21030
ECON 16020,  Introduction to Public Sector Economics,"
The course studies public policy issues in the world from both micro- and macroeconomic perspectives. Covered topics include tax, antitrust, and trade policies (micro) as well as fiscal and monetary policies (macro). International case studies will be discussed in comparison to the US experiences (e.g., industrial policies and development in Asia, exchange rate policies in Latin America, the currency union in Europe, and ECB's monetary policy).",TBD,NaN,NaN,ECON 10000/19800/20000/20010 and  ECON 10200/19900/20200/20210
ECON 16520,  Economics and Environmental Policy,"
This course combines basic microeconomic theory and tools with contemporary environmental and resources issues and controversies to examine and analyze public policy decisions. Theoretical points include externalities, public goods, common-property resources, valuing resources, benefit/cost analysis, and risk assessment. Topics include pollution, global climate change, energy use and conservation, recycling and waste management, endangered species and biodiversity, nonrenewable resources, congestion, economic growth and the environment, and equity impacts of public policies.",Autumn,S. Shaikh,"ENST 21800, CEGU 21800, PBPL 21800","ECON 10000 or higher, or PBPL 20000"
ECON 16700,  Introduction to Economics of Education,"
This course investigates economic issues related to education. We will first discuss the theory behind the decision to invest in education. We will talk about private and social returns to education as well as signaling value of education. Then, we will investigate which factors (class size, teachers, incentives, peers, beliefs, etc.) matter in determining the success of students. Throughout the course, we will learn how different methods (experiments, difference-in-differences, instrumental variables, and regression discontinuity) are used to answer the economics of education questions.",Spring. Introduction to Economics of Education,F. Ersoy,NaN,ECON 10000/20000/20010 and ECON 11010/STAT 22000/STAT 23400/STAT 24400
ECON 16710,  Education and Economic Development,"
This course covers policy issues related to education in developing contexts.  We will analyze education policies and reforms, develop skills to be a critical consumer of relevant research on each topic, and examine implications of the findings to policy and practice.  Topics include discrimination and inclusion in education, understanding factors that influence educational decisions, provision of basic needs in schools, teacher pay and incentives, education in emergency settings, and school choice.",Winter,A. Adukia,"EDSO 28350, PBPL 28350",Recommended prerequisite courses: Microeconomics and econometrics. Students in their last years will be given priority.
ECON 16950,"  Conflict: Root Causes, Consequences and Solutions for the Future","
The goals of this course are to introduce you to key concepts in the study of conflict, and to help you develop the analytical skills you need to understand and assess key arguments advanced in this arena. Drawing primarily on economics and political science, as well as psychology, we will seek to understand: Why do human beings engage in acts of violence? How can armed groups compel atrocities? How do we prevent cycles of violence, and aid countries recovering from war? Specifically: We will examine the role of economic shocks and ethnic divisions on civil war. We will also discern whether similar factors explain the rise of terrorism. In addition, we will study the consequences of conflict on socio-economic development, and examine the role of foreign aid and post-conflict reconciliation in helping countries recover from conflict. The class will examine these questions while focusing on analytical skills needed to understand cutting edge research in this area. Thus a major emphasis of the course is on learning how to think critically about empirical evidence, and learning the methods used in quantitative empirical analysis, such as fixed effects models, differences-in-differences research designs, and instrumental variables estimation. It is ideal for students who want to learn substantively about conflict while developing an understanding of the methodology used to produce key empirical findings.",Winter,Oeindrila Dube,"PBPL 28750, PLSC 28750",NaN
ECON 17100,  Introduction to International Trade,"
This course covers international economics with an emphasis on international trade. The basic theories of international trade are introduced and used to analyze welfare and distributional effects of international trade, government policies, and technology diffusion. In addition, this course also discusses the main empirical patterns of international trade and international investment.",Spring,K. Yoshida,NaN,ECON 10000/19800/20000/20010 and ECON 10200/19900/20200/20210
ECON 17110,  International Monetary Systems,"
This course studies the principles of monetary policy across international markets, global banking markets, and optimum currency areas and their impact on and from business cycles and economic development. Students will be introduced to simplified theoretical models with which to analyze data, relevant empirical findings, and policy decisions. Practice is provided in understanding recent international economic events and current policy topics.",NaN,G. Pieters,NaN,ECON 10200/ECON 19900/ECON 20200/ECON 20210
ECON 17700,  Introduction to Health Economics,"
This course will introduce students to the economics of health care provision and payment. We will use methods from microeconomics to investigate how different aspects of the health care system function and to assess the implications for different policies designed to improve that functioning. We will use economic tools and techniques from the sub-disciplines of information economics, industrial organization, labor economics, public economics, behavioral economics, and decision theory to think about these questions. The primary goals of the course will be to (i) master different economic techniques in the context of health care markets and (ii) learn about the specific institutional details and policies relevant to those markets.",Autumn,"Root, A.",NaN,ECON 10000/20000/20010 and ECON 11010/STAT 22000/STAT 23400/STAT 24400
ECON 17710,  Health Care Markets and Regulation,"
This course analyzes the economics of health care markets and the way regulations impact those markets.  We will study  the unique institutional arrangements found in the health care sector (primarily, though not exclusively, in the United States) and examine how market forces manifest themselves in this setting.  We will consider the behavior of health care providers, insurers' roles both as intermediaries and risk managers, patients' health care demand, and geographic differences in medicine.  The study of government regulations, including their theoretical and empirical impacts on health care markets, will be integrated throughout these topics.",Autumn,"Gottlieb, J","PPHA 37820, PBPL 28335",NaN
ECON 18010,  Introduction to Managerial Microeconomics,"
This course presents several classic microeconomic models applicable in business contexts. The topics covered include self-selection, commitment, product differentiation, matching, and mechanism design, among others. The theoretical insights of each model are analyzed. Real-world applicability is discussed using practical examples. Students are required to write short papers applying the models presented in the course to real-world situations in the context of business.",TBD,P. Pena,NaN,ECON 10000 or ECON 19800 or ECON 20000 or ECON 20010
ECON 18020,  Introduction to Applied Empirical Industrial Organization,"
In this course, students will learn how to apply techniques and models developed in industrial organization and law and economics to important questions that arise in litigation and government regulation.  We will be guided and informed by pure theory underlying industrial organization and implement it in a world of partial information, incomplete data, and even contradictory data, among other complexities.
Students will learn how to develop inferences by applying the models to real world cases and data - ie, extracting the most information possible from partial, imperfect data, frequently with missing values or poorly-measured data points.  These fact patterns will not always result in an incontrovertible answer.  Thus, students will be expected to identify and express the ""best argument for"" and ""best argument against"" the questions posed to them.  This means that students will be expected to (i) use theory as a guideline to assess the relevant facts, circumstances, and data, (ii) reach a view, (iii) succinctly express that view in writing and acknowledge and address contrary theory and empirical results. 
Students will also see actual expert reports and/or white papers that have been prepared in actual disputes and investigations.  Part of the grade will be based on an ""expert report"" written by the students in small teams.",Spring,J. Arnold,NaN,Econ 10000/20000 and Econ 11020/21020
ECON 19000,  Economics for Everyone: Micro,"
The field of economics has generated a powerful set of insights which have fundamentally shaped the modern world.  Because modern economics puts such a heavy stress on mathematical rigor, the most interesting economic ideas often get pushed to the background.  In this course, we will explore these big economic ideas, without the math.  Our goal is to make the beauty and power of economic thinking available to everyone.  We will discuss what it means to think like an economist, how you can use economic thinking to make the world a better place (or to take advantage of your friends and enemies, if you prefer), and also how sometimes thinking like an economist can get you into trouble.",NaN,"J. List, S. Levitt",NaN,NaN
ECON 19100,  Economics for Everyone: Macro,"
This course explores the big ideas in macroeconomics in a way that is enjoyable and accessible, with minimal reliance on mathematics. The goal is to provide an introduction to macroeconomic issues for people who have never before studied macroeconomics (and who might never study it again), so that they can understand and contribute to ongoing discussions in the news and on social media. We will demystify some of the major macroeconomic questions of our times: Why is there unemployment? Why are some countries poor? What's the big deal about government debt? How high should we set taxes? What gives money and stocks their value? What does the Fed do? And why did all those economists win Nobel Prizes? We will show the fun, interesting, and strange sides of macroeconomics.",TBD,G. Kaplan,NaN,NaN
ECON 19200,  Introduction to Issues and Methods in Microeconomics,"
Microeconomics is the study of how agents make optimal choices when facing constraints. The course will start by developing the ""Economic Approach"" as the basic tool for analysis in economics. We will continue with a model of causal inference, and link it with concepts students have learned in the econometrics course. Then, we introduce the use of experiments as an alternative methodology for the researchers to gather their own data. Finally, we cover some major topics in behavioral economics.",Winter,NaN,NaN,Econ 10000/20000/20010.
ECON 19300,  Introduction to Issues and Methods in Macroeconomics,"
We will develop basic tools and methods in economics and study issues in macroeconomics and international trade and finance. The topics we cover include both contemporary and classical issues such as tax incidence and distortions, optimal taxation, inflation, monetary policy, patterns and benefits of trade, and exchange rate determination. The objective of the course is to train students with analytical tools in macroeconomics so that they can understand, analyze, and evaluate various policies and policy proposals. To make the subject matters relevant and practical, students are strongly encouraged to read the Wall Street Journal and the Economist regularly to keep up with current events and controversies.",Winter,NaN,NaN,Econ 10200/20200/20210
ECON 20000-20100-20200-20300,  The Elements of Economic Analysis I-II-III-IV,"
",NaN,NaN,NaN,NaN
ECON 20010-20110-20210,  The Elements of Economic Analysis: Honors I-II-III,"
The Elements of Economic Analysis: Honors I-II-III",NaN,NaN,NaN,NaN
ECON 20520,  Formal Models of Political Economics,"
Why do the Republicans and the Democrats almost always ended up choosing moderates as their party nominees in presidential races? How do ""checks and balances"" such as a legislative committee's power to set the agenda or a president's power to veto a bill affect policy outcomes? What leads to coalition building in a legislature and how does it affect the result of legislative bargaining? When can a legislature optimally delegate its power to a bureaucratic agency who has its own interests and agenda? To answer questions like these, we study formal models of political economics. Such models examine explicitly the incentives of participants in political processes and generate predictions of their behavior based on such incentives and any confounding strategic considerations. Our approach is largely game theoretical. Familiarity with fundamental game theoretical ideas like the strategic and extensive games, the Nash Equilibrium, and the Subgame Perfect Equilibrium is essential and assumed.",Autumn,R. Fang,NaN,ECON 10700 or ECON 20100 or ECON 20110 or ECON 20700
ECON 20700,  Game Theory and Economic Applications,"
This course introduces the basic ideas and applications of game theory. Topics include models of games in extensive and strategic form, equilibria with randomization, signaling and beliefs, reputation in repeated games, bargaining games, investment hold-up problems, and mediation and incentive constraints.",Autumn,J. Root,NaN,ECON 20100/20110
ECON 20770,  Decision and Strategy,"
This course provides a formal introduction to game theory with applications in economics. We will study models of how individuals make decisions, and how those decisions are shaped by strategic concerns and uncertainty about the world. The topics will include the theory of individual choice, games of complete and incomplete information, and equilibrium concepts such as Nash equilibrium. The applications will include oligopoly, auctions, and bargaining. The course is appropriate for advanced undergraduates who are interested in a rigorous mathematical approach to understanding human behavior.",TBD,B. Brooks,ECMA 30770,"Prerequsites for Undergraduates: ECON 20100/ECON 20110 and MATH 20300/MATH 20310/MATH 20700, or consent of instructor"
ECON 20780,  Decision and Strategy II,"
We continue the formal introduction to decision theory and game theory begun in ECMA 30780, with a specific focus on models of incomplete information. Topics covered include subjective expected utility, Bayesian games, contract theory, and mechanism design. Among the applications we will consider are auctions, collusion, entry deterrence, and strategic communication. The course is appropriate for advanced undergraduates who are interested in a rigorous mathematical approach to decision making in strategic situations.",TBD,B. Brooks,ECMA 30780,ECON 20770/ECMA 30770 or consent of instructor
ECON 21020,  Econometrics,"
Required of students who are majoring in economics; those students are encouraged to meet this requirement by the end of their third year. This course covers the single and multiple linear regression model, the associated distribution theory, and testing procedures; corrections for heteroskedasticity, autocorrelation, and simultaneous equations; and other extensions as time permits. Students also apply the techniques to a variety of data sets using PCs.",NaN,NaN,NaN,"ECON 20100/20110; ECON 21010, or STAT 23400/24400/24410 and MATH 19620 (or MATH 20000 or STAT 24300 or MATH 20250)"
ECON 21030,  Econometrics - Honors,"
The topics are essentially the same as those covered in ECON 21020, but this foundations course in econometrics gives a more systematic introduction to the application of statistical theory to economic applications. This course is intended for students who are planning to study economics at the graduate level.",NaN,"A. Torgovitsky, E. Rose",NaN,"ECON 20100/20110, and STAT 24400/24410/24500, and MATH 19620/20250/STAT 24300; or consent of instructor"
ECON 21031,  Econometrics II-Honors,"
This course is a continuation of ECON 21030. The topics covered include additional applications of linear regression to descriptive and causal inference. Other topics may include nonlinear models, panel data, quantile regression, time series, the bootstrap, and nonparametric regression. This course is intended for students who are planning to study economics at the graduate level.",Spring,A. Torgovitsky,NaN,ECON 21020/21030
ECON 21110,  Applied Microeconometrics,"
This course will cover a broad set of applications in labor economics, public economics, industrial organization, economics of education, environmental economics, and development economics. There will be a strong focus on how economic theory, institutional details, and experiments can be used to draw causal inferences on economic relationships. There will be emphasis on applying a number of commonly used microeconometric methods to economic data; including the linear regression model, fixed and random effects models, instrumental variables, and discrete choice models. When interpreting the empirical results, we will also discuss the importance of omitted variables bias and measurement error.",Winter,J. Joensen,NaN,ECON 21020 or ECON 21030
ECON 21200,  Time Series Econometrics,"
This course focuses on theory, and covers a broad range of topics, both mathematical and statistical, on stationary time series models in time and frequency domains. The models include ARMA, VAR, ARCH/GARCH and their variants. It also covers nonstationary time series models with unit roots and cointegration, and the theories and methodologies to estimate and test them statistically.",TBD,NaN,NaN,ECON 20200/20210 and ECON 21020/21030
ECON 21300,  Data Construction and Interpretation in Economic Applications,"
In this course we will explore the process of extracting insights from real-world data. What can one learn from a particular data set? How do you know what sets of tools will be ""right"" for the job? How can you increase your degree of confidence that the inferences you are drawing are correct? How can you best communicate the insights you glean from the data? Unlike standard econometrics courses, this class emphasizes hands-on work with actual data sets rather than the development of sophisticated tools and techniques (which are also useful, you just won't learn them here!).",Not offered in 2022-2023.,S. Levitt,NaN,ECON 10000/19800/20000/20010 and STAT 22000/23400/24400 (or ECON 21010)
ECON 21410,  Computational Methods in Economics,"
This course introduces the empirical and computational techniques necessary for numerical estimation and simulation in economics. Through examples in economics, the course covers topics such as optimization, function approximation, and monte carlo techniques. Emphasis will be placed on developing effective programming and research practices. The course is structured through a series of applications in such topics as segregation, occupational choice, and repeated games. The course will be taught in R and STATA. Though helpful, no previous experience with R or STATA is required.",TBD,NaN,NaN,ECON 20100/20110 and ECON 21020/21030
ECON 21730,  Applied Behavioral Economics,"
This class covers recent work in behavioral economics. Topics include discrimination, social pressure, social norms, identity and gender. Applications will cover a wide range of fields, including labor economics, finance, and political economy.",NaN,L. Bursztyn,NaN,ECON 20100/20110 and ECON 21020/21030
ECON 21740,  Behavioral Economics and Experiments,"
This is a hands-on course in behavioral economics. Basic concepts of preferences, traits, and behavioral biases are reviewed that link economics and psychology. Methods for eliciting traits and preferences will be taught and implemented in actual lab experiments. Grade will be determined by reports and quality of lab work.",TBD,J. Heckman,NaN,ECON 10000/19800/20000/20010 AND STAT 22000/23400/24300/24400/24410/ECON 21010 (Lab students require one economics course.)
ECON 21800,  Experimental Economics,"
This course provides the necessary tools to be an avid consumer of the experimental literature and instructs students on how to become a producer of that literature. Topics include a summary of recent experimental findings and details on how to gather and analyze data using experimental methods.",Winter,J. List,NaN,ECON 20100/20110 and ECON 21020/21030; ECON 10000/20000 and ECON 11020 for declared business economics students. No first-year students.
ECON 21830,  Social Neuroscience,"
Humans are intensely social animals. Our lives are intertwined with other people, and our well-being depends on others. Social neuroscience examines how the brain mediates social cognition and behavior. It spans diverse species, disciplines (evolutionary biology, neuroscience, anthropology, psychology, behavioral economics, sociology, and political science), and levels of analysis across the biological organization. Social neuroscience provides an overarching paradigm to investigate social cognition and behavior and to determine where we as a species fit within a broader biological context. A wide range of topics will be examined, including social connections and friendship, sex, mating and aggression, cooperation and social preferences, social and environmental influences on decision-making and behavior, empathy, social contagion, and group coalitions. Interdisciplinary analyses, by integrating approaches from social sciences and biological sciences, significantly expand our knowledge and have the potential to improve our social and living conditions.",Autumn,J. Decety,"PSYC 22350, BIOS 24137, HLTH 22350, CHDV 22350",NaN
ECON 22030,  The Chinese Economy,"
This course provides an overview of the Chinese economy, with two main focuses. First, we will review the significant reforms that happened in China in the past four decades, which fundamentally reshaped the modern China as we see today. Second, we will discuss some of China's key political and economic institutions, and their implications on China and the rest of the world. Throughout the course, special emphasis will be given to the role of the state in China's growth experience, at both the central- and local-levels.",Spring,"Wang, S","PBPL 25585, PPHA 35585",NaN
ECON 22410,  UChicago Economics: The People and the Seminal Ideas,"
Econ 24720 or Econ 22410 may be used as an economics elective, but only one of the two may be used toward economics major requirements. This course will trace in general the history and evolution of economic thought as an intellectual discipline, from the Middle Ages through Adam Smith and the Classical dominance in the 18th and 19th centuries, to the neoclassical period and alternative schools, and then the rise of Keynesian economics and the emergence of the Chicago School of economics in the 20th century. With this background and context, the focus will turn to the theoretical and empirical contributions of important historical UChicago figures such as Veblen, Knight, Hayek, Friedman, Stigler, Coase and Becker as well as the seminal ideas of contemporary scholars, including several Nobel laureates, in the Department, other academic units on campus, and economists elsewhere with deep Chicago roots.",TBD,NaN,NaN,ECON 20200/20210. Third- or fourth-year standing.
ECON 23000,  Money and Banking,"
This course covers economic theories and topical issues in money and banking. We discuss such ""traditional"" topics as the quantity theory, the Phillips curve, and the money creation process. We also investigate models of bank runs and financial crises, the tradeoff between rules and discretion, and the New Macroeconomic Synthesis of New Classical. Other topics include New Keynesian approaches to modeling money and monetary policy, practical and institutional issues in European and U.S. monetary policy, and the 2008 financial crisis.",Autumn,H. Uhlig,NaN,ECON 20200 (or ECON 20210); ECON 21020 and ECON 23950 are strongly recommended.
ECON 23200,  Topics in Macroeconomics,"
This course focuses on the use of dynamic general equilibrium models to study questions in macroeconomics. Topics include long-run growth and dynamic fiscal policy (Ricardian equivalence, tax smoothing, capital taxation), labor market search, industry investment, and asset pricing. On the technical side, we cover basic optimal control (Hamiltonians) and dynamic programming (Bellman equations).",Autumn,N. Stokey,NaN,ECON 20200 (or ECON 20210) and MATH 20300 (or MATH 20310 or MATH 20700)
ECON 23410,  Economic Growth,"
The process of economic growth and the sources of differences in economic performance across nations are some of the most interesting, important and challenging areas in modern social science. You cannot travel or read the news without wondering why differences in standards of living among countries are so large. The primary purpose of this course is to introduce undergraduate students to these major issues and to the theoretical tools necessary for studying them. The course therefore strives to provide students with a solid background in dynamic economic analysis, as well as empirical examples and data analysis. We will cover models at an abstract and advanced level. You must have the degree of mathematical maturity associated with the concepts of functions, derivatives, integrals, Taylor series, optimization, ordinary differential equations. Some basic knowledge on regression analysis is also required.",Winter,U. Akcigit,NaN,ECON 20200 (or ECON 20210) and ECON 21020 (or ECON 21030)
ECON 23950,  Economic Policy Analysis,"
Building on the tools and methods that are developed in the core courses, this course analyzes fiscal and monetary policy and other topical issues. We use both theoretical and empirical approaches to understand the real-world problems.",NaN,NaN,NaN,ECON 20200/20210; ECON 21020 or 21030 strongly recommended.
ECON 24000,  Labor Economics,"
Topics include the theory of time allocation, the payoffs to education as an investment, detecting wage discrimination, unions, and wage patterns. Most of the examples are taken from U.S. labor data, although we discuss immigration patterns and their effects on U.S. labor markets. Some attention is also given to the changing characteristics of the workplace.",TBD,NaN,NaN,ECON 20100 and ECON 21020 (or ECON 21030)
ECON 24450,"  Inequality and the Social Safety Net: Theory, Empirics, and Policies","
This course will introduce students to key economic and conceptual issues surrounding inequality and the social safety net. We will study the theoretical underpinnings and empirical analysis of the social safety net, focusing on the effects of social insurance and public assistance programs on individual and societal outcomes. After studying models of the insurance-incentive tradeoff, we will apply these models and econometric strategies to the empirical analysis of social safety net programs. We will study how social safety net programs interact with labor markets, specifically human capital investment and work decisions, and how they affect long-term outcomes such as income, health, well-being, and inequality. Students will learn how to analyze the tradeoffs involved in social safety net programs and will learn the current state of evidence on these programs.",Spring,M. Deshpande,NaN,ECON 20100/20110 and ECON 21020/21030
ECON 25000,  Introduction To Finance,"
This course develops the tools to quantify the risk and return of financial instruments. These are applied to standard financial problems faced by firms and investors. Topics include arbitrage pricing, the capital asset pricing model, and the theory of efficient markets and option pricing.",NaN,NaN,NaN,ECON 20200/20210 and ECON 21020/21030
ECON 25100,  Financial Economics; Speculative Markets,"
This course focuses on the description, pricing, and hedging of basic derivative claims on financial assets. We study the characteristics, uses, and payoffs of a variety of contracts where the underlying claims include commodities, foreign currencies, bonds, stocks, or stock indices. We examine contracts such as options, swaps, and futures contracts. We use a unified approach (the technique of portfolio replication) to study pricing of these claims. Students also gain an understanding of strategies for hedging of the risks inherent in holding these derivative claims.",Spring,F. Alvarez,NaN,ECON 20100/20110 and STAT 23400/24400/24410/ECON 21010
ECON 25120,  Options and Volatility Products,"
TBD",Spring,F. Alvarez,NaN,NaN
ECON 25520,  Development Economics and Data Analysis,"
Why do some countries grow faster than others? Why do farmers not adopt new technologies that generate higher yields? What is the most effective way to improve health, education and women's empowerment in middle and low income countries? We will examine these questions by applying the tools of economics to the best available data. In addition to mastering the economic literature on development economics, students will learn applied econometric techniques and how to apply them in practice. They will learn how to critically evaluate data analysis and spot potential biases: is the outcome variable likely to be subject to social desirability bias? is there potential selection bias or attrition bias? What techniques are best adapted to addressing these potential biases in the data? In the final part of the course we will cover the role of the International Financial Institutions (the IMF and World Bank) in international development. The course is designed for undergraduates with a strong interest in economics and data and previous experience using statistical software (such as R or Stata).",Autumn,R. Glennerster,NaN,ECON 20100/20110 and ECON 21020/21030
ECON 25530,  Behavioral Development Economics (Undergraduate)  100 Units,"
This course will focus on the intersection of two rapidly growing and recently Nobel Prize-winning fields in economics - development, and behavioral economics. Behavioral development economics brings insights and tools from psychology and behavioral economics to the study of developing economies and poverty more generally. The class is aimed at students interested in either (or both) of the fields. A decent part of lectures will be focused on introducing and describing tools of behavioral economics, before moving to applications in low-and middle-income countries.",Winter,A. Karing,NaN,Econ 20100/20110 and Econ 21020/21030
ECON 26010,  Public Finance,"
This course addresses the measurement, explanation, and consequences of government activity including tax systems, expenditure programs, and regulatory arrangements. Topics include cross-country comparisons of government behavior, market analyses of public policy, the incidence of government activity, and effects of economic activity on politics and public policy.",TBD,M. Golosov,NaN,ECON 20200/20210 and ECON 21020 (or ECON 21030)
ECON 26030,  The Economics of Socialism,"
The course examines the economic theories of socialism ranging from Karl Marx's to market socialism, as well as theories of market power, collective action, and price regulation. These theories are applied to the measurement of socialism, income distribution, surplus value, and the degree of exploitation of labor. These metrics are used to compare various mixed economies including the Nordic model and various sectors in the United States. We consider how the economics of socialism might evolve as the health sector grows in the near future and artificial intelligence transforms the workplace in the long run.",NaN,C. Mulligan,NaN,Econ 20100/20110
